id_list,filename
fg_mask_00.png,mask_foreground_bird_015.png
fg_mask_01.png,mask_foreground_bird_029.png
fg_mask_02.png,mask_foreground_cat_068.png
fg_mask_03.png,mask_foreground_cat_040.png
fg_mask_04.png,mask_foreground_cat_069.png
fg_mask_05.png,mask_foreground_bird_028.png
fg_mask_06.png,mask_foreground_bird_002.png
fg_mask_07.png,mask_foreground_bird_016.png
fg_mask_08.png,mask_foreground_cat_095.png
fg_mask_09.png,mask_foreground_bird_017.png
fg_mask_10.png,mask_foreground_bird_003.png
fg_mask_11.png,mask_foreground_bird_007.png
fg_mask_12.png,mask_foreground_bird_013.png
fg_mask_13.png,mask_foreground_bird_012.png
fg_mask_14.png,mask_foreground_bird_006.png
fg_mask_15.png,mask_foreground_cat_092.png
fg_mask_16.png,mask_foreground_bird_038.png
fg_mask_17.png,mask_foreground_bird_010.png
fg_mask_18.png,mask_foreground_bird_004.png
fg_mask_19.png,mask_foreground_cat_050.png
fg_mask_20.png,mask_foreground_bird_005.png
fg_mask_21.png,mask_foreground_bird_011.png
fg_mask_22.png,mask_foreground_cat_093.png
fg_mask_23.png,mask_foreground_bird_039.png
fg_mask_24.png,mask_foreground_bird_102.png
fg_mask_25.png,mask_foreground_bird_076.png
fg_mask_26.png,mask_foreground_bird_089.png
fg_mask_27.png,mask_foreground_bird_088.png
fg_mask_28.png,mask_foreground_cat_022.png
fg_mask_29.png,mask_foreground_bird_063.png
fg_mask_30.png,mask_foreground_bird_077.png
fg_mask_31.png,mask_foreground_bird_101.png
fg_mask_32.png,mask_foreground_bird_075.png
fg_mask_33.png,mask_foreground_bird_049.png
fg_mask_34.png,mask_foreground_cat_034.png
fg_mask_35.png,mask_foreground_bird_048.png
fg_mask_36.png,mask_foreground_bird_074.png
fg_mask_37.png,mask_foreground_bird_060.png
fg_mask_38.png,mask_foreground_bird_100.png
fg_mask_39.png,mask_foreground_bird_064.png
fg_mask_40.png,mask_foreground_bird_070.png
fg_mask_41.png,mask_foreground_bird_065.png
fg_mask_42.png,mask_foreground_bird_073.png
fg_mask_43.png,mask_foreground_bird_067.png
fg_mask_44.png,mask_foreground_bird_099.png
fg_mask_45.png,mask_foreground_cat_033.png
fg_mask_46.png,mask_foreground_bird_057.png
fg_mask_47.png,mask_foreground_bird_043.png
fg_mask_48.png,mask_foreground_bird_094.png
fg_mask_49.png,mask_foreground_bird_080.png
fg_mask_50.png,mask_foreground_bird_081.png
fg_mask_51.png,mask_foreground_bird_042.png
fg_mask_52.png,mask_foreground_bird_056.png
fg_mask_53.png,mask_foreground_bird_054.png
fg_mask_54.png,mask_foreground_bird_083.png
fg_mask_55.png,mask_foreground_bird_097.png
fg_mask_56.png,mask_foreground_bird_096.png
fg_mask_57.png,mask_foreground_bird_082.png
fg_mask_58.png,mask_foreground_bird_055.png
fg_mask_59.png,mask_foreground_bird_041.png
fg_mask_60.png,mask_foreground_bird_079.png
fg_mask_61.png,mask_foreground_bird_045.png
fg_mask_62.png,mask_foreground_bird_051.png
fg_mask_63.png,mask_foreground_bird_086.png
fg_mask_64.png,mask_foreground_bird_087.png
fg_mask_65.png,mask_foreground_bird_044.png
fg_mask_66.png,mask_foreground_bird_078.png
fg_mask_67.png,mask_foreground_bird_052.png
fg_mask_68.png,mask_foreground_bird_046.png
fg_mask_69.png,mask_foreground_bird_091.png
fg_mask_70.png,mask_foreground_bird_085.png
fg_mask_71.png,mask_foreground_bird_084.png
fg_mask_72.png,mask_foreground_bird_090.png
fg_mask_73.png,mask_foreground_bird_047.png
fg_mask_74.png,mask_foreground_bird_053.png
fg_mask_75.png,mask_foreground_bird_020.png
fg_mask_76.png,mask_foreground_bird_008.png
fg_mask_77.png,mask_foreground_cat_061.png
fg_mask_78.png,mask_foreground_bird_009.png
fg_mask_79.png,mask_foreground_bird_021.png
fg_mask_80.png,mask_foreground_bird_035.png
fg_mask_81.png,mask_foreground_bird_023.png
fg_mask_82.png,mask_foreground_bird_037.png
fg_mask_83.png,mask_foreground_cat_062.png
fg_mask_84.png,mask_foreground_bird_036.png
fg_mask_85.png,mask_foreground_bird_026.png
fg_mask_86.png,mask_foreground_cat_098.png
fg_mask_87.png,mask_foreground_bird_032.png
fg_mask_88.png,mask_foreground_cat_066.png
fg_mask_89.png,mask_foreground_cat_072.png
fg_mask_90.png,mask_foreground_bird_027.png
fg_mask_91.png,mask_foreground_bird_019.png
fg_mask_92.png,mask_foreground_bird_031.png
fg_mask_93.png,mask_foreground_bird_025.png
fg_mask_94.png,mask_foreground_cat_058.png
fg_mask_95.png,mask_foreground_cat_059.png
fg_mask_96.png,mask_foreground_cat_071.png
fg_mask_97.png,mask_foreground_bird_024.png
fg_mask_98.png,mask_foreground_bird_030.png
fg_mask_99.png,mask_foreground_bird_018.png
